Year,Region,Event_Type,Impact_Level,Casualties,Economic_Loss,Description
1902,Europe,Reform,High,0,0,A reform occurred in Europe around 1902 with high impact.
1937,Africa,Revolution,Medium,87657,0,A revolution occurred in Africa around 1937 with medium impact.
1879,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1879 with low impact.
2006,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 2006 with medium impact.
1900,Africa,Reform,High,0,0,A reform occurred in Africa around 1900 with high impact.
1974,Oceania,War,Medium,732614,234873529,A war occurred in Oceania around 1974 with medium impact.
1986,Middle East,Revolution,Low,256355,0,A revolution occurred in Middle East around 1986 with low impact.
1822,South America,War,Medium,642039,326864410,A war occurred in South America around 1822 with medium impact.
1814,North America,Reform,High,0,0,A reform occurred in North America around 1814 with high impact.
1968,Oceania,Revolution,Low,13280,0,A revolution occurred in Oceania around 1968 with low impact.
1981,Asia,Reform,Low,0,0,A reform occurred in Asia around 1981 with low impact.
1841,South America,Economic Crisis,High,0,277681897,A economic crisis occurred in South America around 1841 with high impact.
2000,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 2000 with medium impact.
1842,North America,Revolution,High,819067,0,A revolution occurred in North America around 1842 with high impact.
1868,Oceania,War,Low,351284,433312727,A war occurred in Oceania around 1868 with low impact.
1909,North America,Peace Treaty,Low,0,0,A peace treaty occurred in North America around 1909 with low impact.
1867,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1867 with high impact.
1819,South America,Discovery,High,0,0,A discovery occurred in South America around 1819 with high impact.
1892,Europe,Discovery,High,0,0,A discovery occurred in Europe around 1892 with high impact.
1842,North America,Revolution,Medium,810894,0,A revolution occurred in North America around 1842 with medium impact.
1826,Africa,Reform,High,0,0,A reform occurred in Africa around 1826 with high impact.
1829,Asia,Reform,High,0,0,A reform occurred in Asia around 1829 with high impact.
1800,Europe,Pandemic,Low,256430,0,A pandemic occurred in Europe around 1800 with low impact.
1811,South America,Economic Crisis,Medium,0,494042865,A economic crisis occurred in South America around 1811 with medium impact.
1838,Asia,Pandemic,Low,579720,0,A pandemic occurred in Asia around 1838 with low impact.
2005,Oceania,Reform,High,0,0,A reform occurred in Oceania around 2005 with high impact.
1907,Asia,Economic Crisis,Low,0,223476057,A economic crisis occurred in Asia around 1907 with low impact.
1984,North America,Economic Crisis,Low,0,306841035,A economic crisis occurred in North America around 1984 with low impact.
1895,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1895 with high impact.
1813,Asia,Revolution,High,48159,0,A revolution occurred in Asia around 1813 with high impact.
1902,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1902 with medium impact.
1998,Middle East,Economic Crisis,Medium,0,46377872,A economic crisis occurred in Middle East around 1998 with medium impact.
